Name,AppID,protonBestReportedTier,protonConfidence,protonScore,protonTier,protonTotal,protonTrendingTier
Gundemonium Recollection,92200,platinum,moderate,0.44,gold,8,platinum
Iron Front : Liberation 1944,91330,gold,inadequate,0.12,pending,2,pending
Majesty Gold HD,73230,platinum,low,0.65,platinum,7,platinum
Fate of the World,80200,platinum,low,0.46,platinum,9,platinum
Majesty 2 Collection,73020,platinum,moderate,0.33,gold,14,silver
Making History II: The War of the World - Demo,67100,,,,,,
Dino D-Day,70000,platinum,moderate,0.56,gold,14,gold
Hacker Evolution,70100,platinum,inadequate,0.34,pending,2,pending
Hacker Evolution - Untold,70110,,,,,,
Recettear: An Item Shop's Tale,70400,platinum,strong,0.61,gold,64,platinum
Recettear: An Item Shop's Tale - Demo,70410,,,,,,
Chantelise,70420,platinum,moderate,0.45,gold,18,platinum
Dustforce,65300,platinum,low,0.57,platinum,6,platinum
Arma 2: British Armed Forces,65700,platinum,low,0.07,bronze,6,bronze
Delve Deeper,63800,platinum,low,0.15,silver,7,silver
Numen: Contest of Heroes,60800,platinum,low,0.03,bronze,7,bronze
Age of Wonders: Shadow Magic,61520,platinum,moderate,0.57,platinum,12,gold
HOARD,63000,,,,,,
Alter Ego,63110,platinum,low,0.04,bronze,5,bronze
A Game of Thrones - Genesis,58550,platinum,inadequate,0.14,pending,4,pending
LUXOR: 5th Passage ,60340,platinum,low,0.42,gold,5,gold
Glowfish,60350,platinum,low,0.51,platinum,6,platinum
Tropico 3: Absolute Power,57600,platinum,moderate,0.25,silver,15,silver
Patrician IV: Rise of a Dynasty,57730,platinum,moderate,0.43,gold,21,gold
