Ranking, game
1,Grand Theft Auto V
2,Counter-Strike
3,Schedule I
4,Call of Duty: Warzone
5,Marvel Rivals
6,Dead by Daylight
7,R.E.P.O.
8,Path of Exile 2
9,Street Fighter 6
10,EA Sports FC 25
11,Tom Clancy's Rainbow Six Siege
